Player,avg_PER,avg_OWS,avg_DWS,avg_WS,max_OWS,max_DWS,max_WS,NumOfSeasons
DerMarr Johnson\johnsde03,11.47,0.16,0.76,0.91,1.9,1.3,3.2,7	
Derek Anderson\anderde01,14.5,2.55,1.45,3.97,5.6,4.3,9.9,11	
Derek Fisher\fishede01,11.47,1.78,1.67,3.46,3.6,2.7,6.3,18	
Derek Grimm\grimmde01,7.9,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
Derek Harper\harpede01,15.54,3.33,2.09,5.43,6.3,3.6,9.9,16	
Derek Hood\hoodde01,-24.2,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Derek Smith\smithde02,14.21,1.5,0.53,2.03,6.3,1.7,8.0,9	
Derek Strong\stronde01,12.58,0.95,0.91,1.85,2.5,2.0,4.4,10	
Deron Williams\willide01,17.93,4.77,1.51,6.28,8.9,2.3,11.3,12	
Derrek Dickey\dickede01,12.98,1.1,1.14,2.24,2.0,1.8,3.8,5	
Derrick Alston\alstode01,4.8,0.3,0.6,0.87,1.0,0.8,1.7,3	
Derrick Brown\brownde04,13.4,1.0,0.53,1.53,2.0,0.3,2.3,3	
Derrick Byars\byarsde01,14.9,0.1,0.1,0.1,0.1,0.1,0.1,1	
Derrick Caracter\caracde01,10.0,0.0,0.3,0.3,0.0,0.3,0.3,1	
Derrick Chievous\chievde01,10.47,0.07,0.83,0.9,0.0,1.6,1.6,3	
Derrick Coleman\colemde01,15.88,1.89,2.41,4.28,5.5,4.4,9.9,15	
Derrick Dial\dialde01,12.22,-0.07,0.2,0.17,0.1,0.3,0.4,4	
Derrick Favors\favorde01,18.11,2.3,2.2,4.47,5.0,3.3,8.3,7	
Derrick Gervin\gervide01,18.1,0.55,0.5,1.05,0.9,0.4,1.3,2	
Derrick Jones\jonesde02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1	
Derrick McKey\mckeyde01,12.97,2.08,2.03,4.11,5.0,2.3,7.4,15	
Derrick Phelps\phelpde01,-17.3,0.0,0.0,0.0,0.0,0.0,0.0,1	
Derrick Rose\rosede01,17.07,2.33,1.72,4.03,8.3,4.8,13.1,8	
Derrick Rowland\rowlade01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1	
Derrick Williams\willide02,13.23,1.15,1.07,2.22,2.4,1.2,3.6,6	
Derrick Zimmerman\zimmede01,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1	
Desmon Farmer\farmede01,7.9,-0.05,0.05,-0.05,0.0,0.0,0.0,2	
Desmond Ferguson\fergude01,11.3,0.0,0.0,0.0,0.0,0.0,0.0,1	
Desmond Mason\masonde01,11.52,1.24,1.06,2.32,4.4,1.2,5.7,10	
Desmond Penigar\penigde01,12.9,0.0,0.0,0.1,0.0,0.0,0.1,1	
Detlef Schrempf\schrede01,16.32,4.78,2.06,6.84,9.8,3.1,12.9,16	
Devean George\georgde01,10.1,0.42,1.24,1.66,1.6,2.6,4.2,11	
Devin Booker\bookede01,12.05,0.6,0.45,1.05,1.2,0.7,1.9,2	
Devin Brown\brownde02,11.28,0.5,1.16,1.64,1.6,2.1,3.7,8	
Devin Durrant\durrade01,6.85,-0.4,0.35,-0.1,-0.7,0.6,-0.1,2	
Devin Ebanks\ebankde01,11.33,0.0,0.2,0.2,0.2,0.2,0.4,3	
Devin Gray\grayde01,9.3,-0.05,0.1,0.05,0.2,0.1,0.3,2	
Devin Green\greende01,4.7,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Devin Harris\harride01,15.37,2.43,1.32,3.75,5.9,1.7,7.5,13	
Devyn Marble\marblde01,5.55,-0.35,0.25,-0.1,-0.4,0.3,-0.1,2	
Dewayne Dedmon\dedmode01,14.62,0.6,0.8,1.43,1.2,1.1,2.4,4	
Dexter Boney\boneyde01,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1	
Dexter Cambridge\cambrde01,12.1,0.4,0.0,0.4,0.4,0.0,0.4,1	
Dexter Pittman\pittmde01,4.68,-0.03,0.12,0.1,0.1,0.5,0.6,4	
Dexter Shouse\shousde01,-6.8,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Deyonta Davis\davisde01,11.9,0.1,0.3,0.4,0.1,0.3,0.4,1	
Diamond Stone\stonedi01,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1	
Diante Garrett\garredi02,8.05,-0.7,0.2,-0.5,-0.3,0.1,-0.2,2	
Dick Barnett\barnedi01,13.99,3.34,1.58,4.91,5.9,2.1,8.0,14	
Dick Cunningham\cunnidi01,8.99,-0.14,0.73,0.6,0.2,1.0,1.2,7	
Dick Garmaker\garmadi01,13.35,2.85,1.05,3.9,4.1,0.6,4.7,2	
Dick Garrett\garredi01,10.06,0.32,0.92,1.24,1.0,1.4,2.4,5	
Dick Gibbs\gibbsdi01,9.32,-0.06,0.6,0.5,1.3,0.8,2.1,5	
Dick McGuire*\mcguidi01,16.4,2.3,1.7,4.0,2.3,1.7,4.0,1	
Dick Miller\milledi01,3.3,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Dick Snyder\snydedi01,13.58,3.35,1.12,4.48,8.8,1.2,10.0,13	
Dick Van Arsdale\vanardi01,14.08,4.89,1.39,6.26,7.4,3.0,10.4,12	
Dickey Simpkins\simpkdi01,9.86,-0.11,0.77,0.69,1.5,1.3,2.9,7	
Didier Ilunga-Mbenga\mbengdj01,9.86,-0.04,0.37,0.34,0.0,0.6,0.6,7	
Dijon Thompson\thompdi01,16.8,0.1,0.05,0.1,0.1,0.0,0.1,2	
Dikembe Mutombo*\mutomdi01,16.14,2.69,3.8,6.5,4.7,6.6,11.3,18	
Dino Radja\radjadi01,16.68,1.67,1.9,3.55,3.8,2.2,5.9,4	
Dion Glover\glovedi01,12.92,0.28,0.7,0.98,1.4,1.2,2.6,6	
Dion Waiters\waitedi01,11.82,-0.02,1.16,1.14,0.3,1.8,2.1,5	
Dionte Christmas\chrisdi01,11.1,0.2,0.1,0.3,0.2,0.1,0.3,1	
Dirk Minniefield\minnidi01,11.6,0.13,1.2,1.37,0.9,1.0,1.9,3	
Dirk Nowitzki\nowitdi01,21.91,7.41,3.04,10.46,13.5,4.3,17.7,19	
Doc Rivers\riverdo01,15.82,2.72,2.53,5.25,6.4,3.9,10.3,13	
Dolph Schayes*\schaydo01,16.24,2.48,2.18,4.68,6.2,3.3,9.5,5	
Domantas Sabonis\sabondo01,8.3,0.0,0.7,0.7,0.0,0.7,0.7,1	
Dominic McGuire\mcguido01,8.52,-0.0,0.73,0.7,0.5,1.3,1.7,6	
Dominic Pressley\pressdo01,5.3,-0.3,0.1,-0.2,-0.3,0.1,-0.2,1	
Dominique Jones\jonesdo02,11.6,-0.17,0.27,0.07,-0.1,0.4,0.2,3	
Dominique Wilkins*\wilkido01,21.09,5.49,2.35,7.85,8.4,3.7,12.2,15	
Don Adams\adamsdo01,10.43,-0.46,1.94,1.5,0.1,3.5,3.6,7	
Don Buse\busedo01,12.56,1.72,2.14,3.89,3.7,3.4,7.1,9	
Don Chaney\chanedo01,10.54,1.07,2.17,3.22,4.1,4.6,8.7,11	
Don Collins\collido02,13.25,0.42,1.35,1.73,1.0,2.6,3.5,6	
Don Ford\forddo01,9.64,0.73,1.09,1.83,1.7,1.8,3.5,7	
Don Kojis\kojisdo01,14.7,1.54,1.43,2.98,4.0,4.3,8.3,12	
Don MacLean\macledo01,11.27,0.78,0.27,1.03,5.3,0.3,5.6,9	
Don May\maydo01,12.64,0.97,0.66,1.61,4.5,1.7,6.1,7	
Don Nelson*\nelsodo01,15.71,3.24,2.1,5.33,5.4,3.4,8.8,14	
Don Ohl\ohldo01,12.99,1.89,1.14,3.03,3.6,1.4,5.1,10	
Don Reid\reiddo01,8.14,0.69,1.03,1.7,1.1,1.8,2.9,8	
Don Smith\smithdo02,12.6,-0.2,0.3,0.0,-0.2,0.3,0.0,1	
Donald Hodge\hodgedo01,9.92,-0.04,0.42,0.36,0.7,0.8,1.5,5	
Donald Royal\royaldo01,12.29,1.49,0.89,2.39,3.5,1.5,5.1,8	
Donald Sloan\sloando01,10.8,0.38,0.42,0.82,1.7,0.3,2.0,5	
Donald Whiteside\whitedo01,4.15,0.0,0.05,0.05,0.0,0.1,0.1,2	
Donatas Motiejunas\motiedo01,12.15,0.77,0.97,1.77,2.4,2.3,4.7,4	
Donell Taylor\taylodo01,10.2,-0.35,0.35,0.0,-0.3,0.5,0.2,2	
Donnell Harvey\harvedo01,16.4,0.2,0.72,0.96,-0.3,2.3,2.0,5	
Donnie Boyce\boycedo01,12.35,-0.3,0.2,-0.15,-0.1,0.1,0.0,2	
Donnie Butcher\butchdo01,9.96,0.26,0.64,0.88,0.7,1.2,1.9,5	
Donnie Freeman\freemdo01,14.5,1.5,0.9,2.4,1.5,0.9,2.4,1	
Donny Marshall\marshdo02,1.36,-0.08,0.22,0.16,-0.2,0.8,0.6,5	
Donta Smith\smithdo04,11.65,0.1,0.15,0.25,0.2,0.1,0.3,2	
Dontae' Jones\jonesdo01,3.8,-0.4,0.0,-0.3,-0.4,0.0,-0.3,1	
Donte Greene\greendo01,9.57,-0.2,0.6,0.4,0.3,1.2,1.5,4	
Dontell Jefferson\jeffedo01,12.7,0.0,0.1,0.2,0.0,0.1,0.2,1	
Dontonio Wingfield\wingfdo01,7.45,0.0,0.42,0.43,0.2,0.7,0.9,4	
Donyell Marshall\marshdo01,16.27,1.83,2.12,3.93,4.9,5.5,10.4,15	
Dorell Wright\wrighdo01,12.27,1.25,1.11,2.36,3.9,1.8,5.8,11	
Dorian Finney-Smith\finnedo01,9.2,0.3,0.3,0.6,0.3,0.3,0.6,1	
Dorie Murrey\murredo01,11.03,0.43,0.67,1.08,1.2,1.0,2.2,6	
Doron Lamb\lambdo01,6.15,-0.15,0.2,0.05,0.3,0.2,0.5,2	
Doug Christie\chrisdo01,12.0,1.76,1.94,3.71,4.2,4.7,8.9,15	
Doug Collins\collido01,14.99,3.42,1.34,4.75,8.2,1.9,10.0,8	
Doug Edwards\edwardo01,9.0,-0.2,0.27,0.1,-0.1,0.3,0.2,3	
Doug Kistler\kistldo01,12.1,0.0,0.0,0.0,0.0,0.0,0.0,1	
Doug Lee\leedo01,9.43,0.13,0.1,0.27,0.3,0.2,0.4,3	
Doug McDermott\mcderdo01,9.8,0.73,0.37,1.13,2.1,0.7,2.8,3	
Doug Overton\overtdo01,9.2,0.05,0.17,0.23,1.1,0.6,1.7,11	
Doug Roth\rothdo01,8.2,0.0,0.4,0.4,0.0,0.4,0.4,1	
Doug Sims\simsdo01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1	
Doug Smith\smithdo03,10.18,-0.36,0.96,0.6,0.7,1.6,2.3,5	
Doug West\westdo01,9.98,1.0,0.44,1.48,4.2,0.3,4.6,12	
Dragan Bender\bendedr01,4.5,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Dragan Tarlac\tarladr01,5.6,-0.4,0.2,-0.2,-0.4,0.2,-0.2,1	
Draymond Green\greendr01,14.92,2.16,3.46,5.6,6.0,5.1,11.1,5	
Drazen Petrovic*\petrodr01,16.3,3.88,1.5,5.35,5.8,2.6,8.4,4	
Drew Barry\barrydr01,9.73,0.1,0.13,0.2,0.0,0.3,0.3,3	
Drew Gooden\goodedr01,15.11,1.36,1.79,3.14,4.7,3.8,8.5,14	
Drew Gordon\gordodr01,3.7,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Duane Causwell\causwdu01,10.71,0.33,1.11,1.44,1.3,2.6,3.9,11	
Duane Cooper\coopedu01,7.75,-0.45,0.15,-0.25,-0.2,0.0,-0.1,2	
Duane Ferrell\ferredu01,10.49,0.82,0.58,1.42,2.7,0.9,3.5,11	
Duane Washington\washidu01,7.0,0.1,0.1,0.15,0.3,0.2,0.4,2	
Duck Williams\willidu01,8.6,-0.9,0.6,-0.3,-0.9,0.6,-0.3,1	
Dudley Bradley\bradldu01,11.21,0.09,1.74,1.83,1.0,2.9,3.9,9	
Duje Dukan\dukandu01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1	
Dwayne Jones\jonesdw02,5.84,0.08,0.16,0.28,0.5,0.7,1.2,5	
Dwayne McClain\mccladw01,8.3,-0.9,0.6,-0.3,-0.9,0.6,-0.3,1	
Dwayne Morton\mortodw01,11.0,0.0,0.2,0.2,0.0,0.2,0.2,1	
Dwayne Polee\poleedw01,-11.4,-0.1,0.0,0.0,-0.1,0.0,0.0,1	
Dwayne Schintzius\schindw01,8.74,-0.23,0.36,0.11,-0.1,0.4,0.4,8	
Dwayne Whitfield\whitfdw01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1	
Dwight Anderson\anderdw01,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1	
Dwight Buycks\buyckdw01,10.15,-0.05,0.1,0.05,0.1,0.0,0.1,2	
Dwight Davis\davisdw01,11.62,0.48,1.82,2.28,1.3,2.4,3.7,5	
Dwight Howard\howardw01,21.58,4.11,4.81,8.92,6.7,7.7,14.4,13	
Dwight Jones\jonesdw01,13.0,1.32,1.45,2.74,1.7,2.2,3.9,10	
Dwight Powell\poweldw01,15.97,0.97,0.77,1.73,1.8,1.3,3.1,3	
Dwight Waller\walledw01,2.3,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Dwyane Wade\wadedw01,24.09,5.26,3.01,8.27,10.3,4.4,14.7,14	
Dyron Nix\nixdy01,8.2,-0.1,0.1,0.0,-0.1,0.1,0.0,1	
E'Twaun Moore\mooreet01,10.73,0.2,0.7,0.87,0.9,1.0,1.8,6	
E.C. Coleman\colemec01,10.23,0.52,1.62,2.13,0.7,2.6,3.2,6	
Earl Barron\barroea01,6.59,-0.3,0.21,-0.09,0.3,0.2,0.4,8	
Earl Boykins\boykiea01,14.76,1.57,0.42,2.02,4.2,1.7,6.0,13	
Earl Clark\clarkea01,9.15,-0.22,0.68,0.47,0.7,1.5,2.3,6	
Earl Cureton\curetea01,8.78,0.07,1.13,1.21,1.3,1.4,2.7,12	
Earl Evans\evansea01,10.3,-0.1,0.2,0.1,-0.1,0.2,0.1,1	
Earl Jones\jonesea01,-4.5,-0.05,0.05,0.0,-0.1,0.1,0.0,2	
Earl Lloyd*\lloydea01,8.7,-0.7,1.1,0.4,-0.7,1.1,0.4,1	
Earl Monroe*\monroea01,16.78,3.92,2.03,5.97,6.2,3.1,9.3,13	
Earl Tatum\tatumea01,13.1,0.58,1.33,1.93,2.2,2.2,4.4,4	
Earl Watson\watsoea01,11.13,0.34,1.14,1.48,1.7,1.1,2.9,13	
Earl Williams\williea01,14.23,-0.03,0.7,0.68,0.5,0.8,1.3,4	
Earnie Killum\killuea01,-5.3,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Ed Biedenbach\biedeed01,2.7,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Ed Burton\burtoed01,10.2,-0.05,0.05,0.0,0.0,0.0,0.0,2	
Ed Conlin\conlied01,9.8,-0.8,1.13,0.37,-0.5,1.2,0.7,3	
Ed Davis\davised01,16.17,2.6,1.63,4.24,4.4,2.3,6.7,7	
Ed Fleming\flemied01,14.5,0.7,0.4,1.2,0.7,0.4,1.2,1	
Ed Gray\grayed01,8.9,-0.35,0.4,0.05,0.4,0.4,0.8,2	
Ed Horton\hortoed01,14.5,0.1,0.3,0.4,0.1,0.3,0.4,1	
Ed Manning\mannied01,10.68,-0.12,1.2,1.05,0.2,1.5,1.7,4	
Ed Nealy\nealyed01,10.05,0.75,0.74,1.53,2.6,2.1,4.7,10	
Ed O'Bannon\obanned01,9.1,-0.35,0.85,0.55,-0.5,1.1,0.7,2	
Ed Pinckney\pincked01,13.99,2.12,1.43,3.56,4.8,2.7,7.5,12	
Ed Rains\rainsed01,8.2,0.05,0.25,0.35,0.2,0.4,0.6,2	
Ed Ratleff\ratleed01,12.64,1.52,1.22,2.74,3.1,2.5,5.6,5	
Ed Searcy\searced01,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1	
Ed Sherod\sheroed01,11.4,-0.2,2.7,2.5,-0.2,2.7,2.5,1	
Ed Stokes\stokeed01,6.4,-0.1,0.0,0.0,-0.1,0.0,0.0,1	
Eddie Basden\basdeed01,10.3,-0.1,0.3,0.2,-0.1,0.3,0.2,1	
Eddie Gill\gilled01,11.01,-0.03,0.31,0.27,-0.3,1.4,1.1,7	
Eddie Griffin\griffed01,12.5,0.3,1.88,2.16,1.0,2.9,3.9,5	
Eddie House\houseed01,13.1,0.57,1.25,1.83,2.5,2.4,4.9,11	
Eddie Hughes\hugheed01,9.5,0.07,0.4,0.47,0.1,0.9,1.0,3	
Eddie Johnson\johnsed02,15.61,2.52,1.57,4.09,5.4,2.7,8.2,10	
Eddie Johnson\johnsed03,15.29,2.75,1.11,3.86,5.3,2.1,7.4,17	
Eddie Jones\jonesed02,16.22,4.09,3.1,7.18,5.6,5.0,10.5,14	
Eddie Jordan\jordaed01,11.29,-0.5,1.76,1.26,0.1,4.0,4.1,7	
Eddie Lee Wilkins\wilkied01,11.38,-0.18,0.6,0.43,-0.1,0.9,0.8,6	
Eddie Mast\masted01,9.9,-0.23,0.37,0.1,0.0,0.4,0.4,3	
Eddie Miles\milesed01,12.19,1.5,1.2,2.7,3.7,2.3,6.0,9	
Eddie Owens\owensed01,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1	
Eddie Phillips\philled01,7.5,-0.6,0.7,0.1,-0.6,0.7,0.1,1	
Eddie Robinson\robined01,13.86,0.98,1.04,2.04,2.1,1.8,4.0,5	
Eddy Curry\curryed01,10.57,1.08,0.87,1.98,3.1,1.6,4.7,11	
Edgar Jones\jonesed01,15.23,1.13,1.37,2.5,1.7,1.7,3.4,6	
Edmund Lawrence\lawreed01,19.4,0.1,0.0,0.1,0.1,0.0,0.1,1	
Eduardo Najera\najered01,11.14,1.07,1.0,2.06,2.9,1.8,4.8,12	
Edwin Ubiles\ubileed01,7.3,-0.1,0.0,0.0,-0.1,0.0,0.0,1	
Efthimi Rentzias\rentzef01,10.6,0.0,0.2,0.2,0.0,0.2,0.2,1	
Ekpe Udoh\udohek01,10.68,0.32,0.8,1.16,1.1,1.5,2.7,5	
Elden Campbell\campbel01,15.17,1.67,2.51,4.19,3.8,4.4,8.2,15	
Eldridge Recasner\recasel01,10.97,0.62,0.49,1.11,1.9,1.0,2.9,8	
Elfrid Payton\paytoel01,14.27,0.27,1.6,1.87,0.0,2.3,2.3,3	
Elgin Baylor*\bayloel01,20.79,4.35,2.91,7.25,9.1,5.7,14.8,13	
Elias Harris\harriel01,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1	
Elijah Millsap\millsel01,7.2,-0.6,0.85,0.25,-1.0,1.4,0.4,2	
Elliot Perry\perryel01,12.33,0.61,0.79,1.4,3.3,1.9,5.2,10	
Elliot Williams\williel01,9.88,0.05,0.12,0.17,0.0,0.3,0.3,4	
Elmer Bennett\benneel01,12.6,-0.17,0.03,-0.1,0.0,0.1,0.1,3	
Elmore Smith\smithel01,16.11,1.59,2.76,4.34,4.1,4.7,8.7,8	
Elmore Spencer\spencel01,4.62,-0.5,0.5,0.0,-1.0,1.6,0.6,5	
Elston Turner\turneel01,8.8,0.07,0.99,1.06,0.8,1.5,2.3,8	
Elton Brand\brandel01,18.61,3.87,2.58,6.45,9.3,5.5,14.8,17	
Elvin Hayes*\hayesel01,17.29,2.32,5.24,7.55,4.3,8.2,12.5,16	
Em Bryant\bryanem01,9.92,0.01,1.06,1.09,0.7,1.4,2.1,8	
Emanual Davis\davisem01,9.23,-0.03,0.45,0.42,0.9,0.9,1.8,6	
Emeka Okafor\okafoem01,16.68,1.88,3.02,4.92,3.7,4.6,8.2,9	
Emmanuel Mudiay\mudiaem01,9.6,-2.05,0.8,-1.2,-0.8,0.4,-0.3,2	
Enes Kanter\kanteen01,19.2,2.48,1.27,3.78,6.0,2.1,8.1,6	
Ennis Whatley\whatlen01,11.63,0.21,0.72,0.95,1.5,1.8,3.3,10	
Eric Anderson\anderer01,13.25,0.0,0.1,0.1,0.0,0.1,0.1,2	
Eric Bledsoe\bledser01,16.89,1.31,1.57,2.86,4.1,2.9,7.0,7	
Eric Dawson\dawsoer01,14.6,0.0,0.1,0.1,0.0,0.1,0.1,1	
Eric Fernsten\fernser01,11.23,0.13,0.4,0.57,0.5,0.6,1.2,6	
Eric Gordon\gordoer01,15.42,2.11,0.59,2.69,4.2,1.1,5.3,9	
Eric Johnson\johnser01,4.6,-0.8,0.4,-0.4,-0.8,0.4,-0.4,1	
Eric Leckner\leckner01,9.38,0.05,0.71,0.78,0.6,1.1,1.7,8	
Eric Maynor\maynoer01,9.62,0.1,0.56,0.66,0.5,1.4,1.9,5	
Eric McWilliams\mcwiler01,5.9,-0.5,0.2,-0.4,-0.5,0.2,-0.4,1	
Eric Mobley\mobleer01,10.0,0.0,0.37,0.37,0.8,0.5,1.3,3	
Eric Money\moneyer01,14.1,1.42,1.08,2.45,2.8,1.5,4.2,6	
Eric Montross\montrer01,7.5,0.04,1.03,1.07,2.3,1.8,4.1,8	
Eric Moreland\moreler01,24.1,0.0,0.0,0.0,0.0,0.0,0.0,2	
Eric Murdock\murdoer01,16.14,1.53,1.34,2.84,5.1,2.2,7.2,9	
Eric Piatkowski\piatker01,12.56,1.81,0.39,2.21,4.5,1.0,5.5,14	
Eric Riley\rileyer01,12.62,0.02,0.48,0.5,0.2,0.5,0.7,5	
Eric Snow\snower01,11.32,1.39,1.95,3.35,5.7,2.7,8.4,13	
Eric Washington\washier01,9.55,0.2,-0.15,0.0,0.5,-0.1,0.3,2	
Eric White\whiteer01,12.75,0.45,0.15,0.65,0.6,0.2,0.8,2	
Eric Williams\willier01,11.62,1.06,0.87,1.93,3.4,2.6,6.0,12	
Erick Barkley\barkler01,10.05,-0.1,0.15,0.05,-0.1,0.3,0.2,2	
Erick Dampier\dampier01,13.04,1.46,1.87,3.29,5.5,3.4,8.9,16	
Erick Green\greener01,10.65,0.0,0.05,0.05,0.1,0.0,0.1,2	
Erick Strickland\stricer01,12.67,0.51,1.0,1.49,3.2,1.7,4.9,9	
Erik Daniels\danieer01,4.6,-0.1,0.1,-0.1,-0.1,0.1,-0.1,1	
Erik Murphy\murpher01,0.2,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Ernest Brown\browner01,-9.7,-0.2,0.0,-0.2,-0.2,0.0,-0.2,1	
Ernie Beck\becker01,10.35,-0.1,0.55,0.5,-0.2,1.0,0.9,2	
Ernie DiGregorio\digreer01,11.44,0.06,0.48,0.52,0.7,0.5,1.3,5	
Ernie Grunfeld\grunfer01,12.44,1.26,1.51,2.77,2.8,1.5,4.3,9	
Ersan Ilyasova\ilyaser01,15.68,2.11,1.79,3.9,4.1,2.5,6.7,9	
Ervin Johnson\johnser02,11.15,1.01,1.92,2.91,2.7,3.8,6.4,13	
Erwin Mueller\mueller01,10.07,0.2,1.14,1.39,1.0,2.4,3.5,7	
Essie Hollis\hollies01,11.8,-0.1,0.2,0.1,-0.1,0.2,0.1,1	
Esteban Batista\batises01,9.8,-0.1,0.2,0.15,0.0,0.1,0.2,2	
Etan Thomas\thomaet01,13.58,0.8,0.86,1.63,2.5,2.1,4.5,9	
Etdrick Bohannon\bohanet01,5.65,0.0,0.03,0.03,0.1,0.1,0.1,4	
Eugene Jeter\jetereu01,11.1,0.2,0.5,0.7,0.2,0.5,0.7,1	
Evan Eschmeyer\eschmev01,9.98,0.4,0.65,0.98,1.1,1.5,2.5,4	
Evan Fournier\fournev01,13.24,1.56,0.8,2.36,4.0,1.7,5.7,5	
Evan Turner\turneev01,12.46,-0.09,2.27,2.2,1.0,3.0,4.0,7	
Everette Stephens\stephev01,25.35,-0.25,0.05,-0.15,0.1,0.0,0.1,2	
Evers Burns\burnsev01,9.7,-0.1,0.1,0.1,-0.1,0.1,0.1,1	
Evric Gray\grayev01,2.8,-0.1,0.0,-0.1,-0.1,0.0,-0.1,1	
Fab Melo\melofa01,4.9,0.0,0.1,0.0,0.0,0.1,0.0,1	
Fabricio Oberto\obertfa01,8.68,1.0,1.25,2.27,3.2,2.9,6.1,6	
Fat Lever\leverfa01,16.95,2.68,2.88,5.56,5.5,4.9,10.4,11	
Fatty Taylor\taylofa01,11.1,-0.3,2.5,2.1,-0.3,2.5,2.1,1	
Felipe Lopez\lopezfe01,11.0,0.28,0.5,0.78,0.9,1.0,1.9,4	
Felton Spencer\spencfe01,10.25,0.62,1.12,1.76,3.5,2.1,5.6,12	
Fennis Dembo\dembofe01,7.8,-0.2,0.1,-0.1,-0.2,0.1,-0.1,1	
Fernando Martin\martife01,-0.9,-0.6,0.2,-0.4,-0.6,0.2,-0.4,1	
Festus Ezeli\ezelife01,14.4,0.73,1.23,1.97,1.4,1.3,2.7,3	
Flynn Robinson\robinfl01,16.91,3.11,1.39,4.47,6.9,2.4,9.3,7	
Foots Walker\walkefo01,13.27,1.28,1.84,3.09,3.7,2.4,6.1,10	
Forrest McKenzie\mckenfo01,-2.2,-0.2,0.0,-0.2,-0.2,0.0,-0.2,1	
Francisco Elson\elsonfr01,9.01,0.12,1.18,1.31,0.2,2.9,3.1,9	
Francisco Garcia\garcifr01,11.17,0.9,0.89,1.83,2.4,1.8,4.2,10	
Frank Brickowski\brickfr01,12.57,1.07,1.42,2.5,2.2,2.6,4.7,12	
Frank Johnson\johnsfr01,12.57,0.34,1.39,1.72,2.1,2.2,4.3,10	
Frank Kaminsky\kaminfr01,12.2,0.55,1.4,1.95,1.2,2.1,3.3,2	
Frank Kendrick\kendrfr01,20.3,0.1,0.2,0.3,0.1,0.2,0.3,1	
Frank Kornet\kornefr01,6.15,-0.25,0.25,-0.05,-0.3,0.4,0.0,2	
Frank Oleynick\oleynfr01,10.25,-0.35,0.3,-0.05,-0.2,0.3,0.1,2	
Frank Radovich\radovfr01,9.8,-0.1,0.2,0.0,-0.1,0.2,0.0,1	
Frank Ramsey*\ramsefr01,14.28,1.98,3.22,5.18,3.9,3.4,7.3,5	
Frank Russell\russefr01,14.5,-0.1,0.2,0.1,-0.1,0.2,0.1,1	
Frank Schade\schadfr01,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1	
Frank Selvy\selvyfr01,11.56,1.32,1.78,3.1,2.9,2.6,5.5,5	
Frank Williams\willifr02,5.8,-0.2,0.23,-0.0,-0.1,0.5,0.3,3	
Frankie King\kingfr01,7.85,0.0,0.05,0.0,0.1,0.1,0.1,2	
Frankie Sanders\sandefr01,13.45,-0.1,0.4,0.25,-0.1,0.5,0.4,2	
Franklin Edwards\edwarfr01,11.9,0.09,0.53,0.56,1.1,1.7,2.7,7	
Fred Brown\brownfr01,17.02,2.98,1.88,4.86,6.6,2.2,8.8,13	
Fred Carter\cartefr01,13.21,0.23,1.62,1.85,2.8,1.9,4.7,8	
Fred Cofield\cofiefr01,6.05,-0.5,0.3,-0.25,-0.1,0.0,-0.1,2	
Fred Foster\fostefr01,10.29,-0.26,0.65,0.38,0.8,1.3,2.1,8	
Fred Hetzel\hetzefr01,14.12,1.07,1.57,2.65,2.3,2.8,5.1,6	
Fred Hilton\hiltofr01,11.3,-1.95,0.25,-1.75,-1.5,0.2,-1.4,2	
Fred Hoiberg\hoibefr01,12.65,1.73,1.04,2.76,3.6,2.6,6.1,10	
Fred Jones\jonesfr01,10.41,1.09,1.27,2.34,2.6,2.2,4.8,7	
Fred LaCour\lacoufr01,11.03,0.53,0.6,1.1,0.6,1.1,1.7,3	
Fred Roberts\roberfr01,12.38,1.12,0.89,2.02,2.5,1.7,4.2,13	
Fred Saunders\saundfr01,11.42,0.0,0.77,0.78,0.2,1.1,1.3,4	
Fred Taylor\taylofr01,7.65,-0.7,0.4,-0.3,-0.4,0.6,0.2,2	
